"","Id","Human.Development.Index.HDI.2014","Gini.coefficient.2005.2013","Birth.registration.funder.age.5.2005.2013","Carbon.dioxide.emissionsAverage.annual.growth","Carbon.dioxide.emissions.per.capita.2011.Tones","Change.forest.percentable.1900.to.2012","Change.mobile.usage.2009.2014","Consumer.price.index.2013","Domestic.credit.provided.by.financial.sector.2013","Domestic.food.price.level.2009.2014.index","Domestic.food.price.level.2009.2014.volitility.index","Electrification.rate.or.population","Exports.and.imports.percentage.GPD.2013","Female.Suicide.Rate.100k.people","Foreign.direct.investment.net.inflows.percentage.GDP.2013","Forest.area.percentage.of.total.land.area.2012","Fossil.fuels.percentage.of.total.2012","Fresh.water.withdrawals.2005","Gender.Inequality.Index.2014","General.government.final.consumption.expenditure...Annual.growth.2005.2013","General.government.final.consumption.expenditure...Perce.of.GDP.2005.2013","Gross.domestic.product.GDP.2013","Gross.fixed.capital.formation.of.GDP.2005.2013","Homeless.people.due.to.natural.disaster.2005.2014.per.million.people","Homicide.rate.per.100k.people.2008.2012","Infant.Mortality.2013.per.thousands","International.inbound.tourists.thausands.2013","International.student.mobility.of.total.tetiary.enrolvemnt.2013","Internet.users.percentage.of.population.2014","Intimate.or.nonintimate.partner.violence.ever.experienced.2001.2011","MaleSuicide.Rate.100k.people","Mobile.phone.subscriptions.per.100.people.2014","Natural.resource.depletion","Net.migration.rate.per.1k.people.2010.2015","Physicians.per.10k.people","Population.living.on.degraded.land.Percentage.2010","Population.with.at.least.some.secondary.education.percent.2005.2013","Primary.school.dropout.rate.2008.2014","Prison.population.per.100k.people","Private.capital.flows.percentage.GDP.2013","Public.expenditure.on.education.Percentange.GDP","Public.health.expenditure.percentage.of.GDP.2013","Pupil.teacher.ratio.primary.school.pupils.per.teacher.2008.2014","Refugees.by.country.of.origin","Remittances.inflows.percentual.GDP.2013","Renewable.sources.percentage.of.total.2012","Research.and.development.expenditure..2005.2012","Stock.of.immigrants.percentage.of.population.2013","Taxes.on.income.profit.and.capital.gain.205.2013","Total.tax.revenue.of.GDP.2005.2013","Tuberculosis.rate.per.thousands.2012","Under.five.Mortality.2013.thousands"
"11","Singapore",0.911797820008574,29.95,100,-2.261071479,4.320151436,-4.28571428030434,14.02,112.6459144,112.636519186,1.02,4,100,358.0301,5.3,21.40433,3.285714286,97.2071931,18.8,0.0881294180640059,9.867089056,10.19173373,411.6176962,25.9031114,0,0.2,2.2,11900,10.32317,82,9.2,9.8,158.13,8.507764374,15,19.21,1.213150508,77.39491,1.32316,230,3.422649,2.935770035,4.554448,17.43929,0.067,1.0602678,2.792809886,2.09652,42.9298763,34.71643602,13.968075202,1.7,2.8
"12","Hong Kong ",0.909951869585351,29.95,100,3.235980613,5.695268539,2.96399699447299,33.1,114.2999007,223.953724581,1.56,6.1,100,458.3322,5.8,27.96901,41.1561268266667,94.77411774,18.8,0.0529220695405837,2.323673844,9.31379399,370.2199556,23.8598482,0,0.4,3.03333333333333,25700,-1.69577,74.56,21,16.3,239.3,0.169852563666667,4.2,39.67,3.71789524566667,75.39537,1.00286,128,21.13561,3.760329962,11.7388733333333,13.99258,0.025,0.1313263,0.385299726,0.74927,38.93415952,36.184792417,12.49966099,2.6,7.76666666666667
"13","Liechtenstein",0.907501190352732,29.0033333333333,100,-0.739740093,1.410849731,6.15384615384615,6.85,106.4587666,118.052357007333,1.58,6.3,100,108.052973333333,5.8,-1.16242373333333,43.125,48.29271242,12.3133333333333,0.0642524393710849,1.370024411,25.1893559466667,361.830401766667,21.8676730666667,0,0,2.66666666666667,52,-16.77083,95.21,39.4666666666667,19.8,104.32,0.145505915,2.9,30.5433333333333,3.608516567,89.0003133333333,20.60125,24,5.65003866666667,2.111560106,11.3539353333333,7.44361,0.0146666666666667,0.271701566666667,55.98071977,2.64380666666667,33.06161137,21.4117164426667,12.467426301,0.153333333333333,5.06666666666667
"14","Sweden",0.906816460156634,26.08,100,-2.336878496,5.518421481,4.1410175647238,14,103.8298247,138.058150661,1.46,6.7,100,82.65676,6.1,-0.8831089,69.237001031,31.74427191,1.5,0.0547303971028721,1.552129986,26.211759,419.5900083,22.1464987,0,0.7,2.4,5229,1.77553,92.52,46,16.2,127.84,0.252633899,4.2,32.65,0.322143905,86.89958,4.42096,67,-3.30291,6.819419861,9.710296,9.64567,0.016,0.2012968,70.53008497,3.40622,15.87601432,9.763459908,20.680986756,0.14,3
"15","United Kingdom",0.906698191736312,38.04,100,-1.613521067,7.085732086,10.8923784022108,-0.3,110.1768945,184.091482463,1.19,5,100,61.55657,2.6,1.803818,11.967924606,85.08723106,8.84,0.177352897213129,0.738208387,20.24009778,2372.688781,16.4313705,48.47947191,1,3.9,31200,16.31532,91.61,28.4,9.8,123.58,0.86791171,2.9,27.9,2.694623264,99.85564,1.56160333333333,147,-3.880322,6.033299923,9.117729,18.30825,0.147,0.0639142,14.37432102,1.72108,12.39245147,31.823671596,25.293225016,0.54,4.6
"16","Iceland",0.899412126842021,26.3,100,-0.457757463,5.896828979,264.367817389946,2.61,113.6425471,130.882674938,1.77,5.4,100,103.1194,6.7,3.057418,0.316209476,15.27250818,0.1,0.0869345190791848,0.833401726,24.33165173,13.32367403,15.0959443,0,0.3,1.6,800,-8.19415,98.16,42,21,111.08,0.001124076,3.3,34.76,5.428434008,91.29722314,2.08263,47,8.462746,7.359960079,9.058935,9.92804,0.002,1.145927,84.72752504,2.60487,10.43197232,27.428862278,22.257849129,0.27,2.1
"17","South Korea",0.89833413494607,31.0133333333333,100,6.526072967,11.84075687,-3.42170372123685,16.08,107.67,155.928845497,1.85,9.1,100,102.7863,18,0.9367723,63.778120185,82.80768545,12.27,0.124723753042838,2.702333911,14.92681447,1642.59033,29.6564918,9.194563011,0.9,3.2,12200,-1.71213,84.33,30.3,41.7,115.54,0.013174051,1.2,21.43,2.879727972,82.89788,0.80889,99,1.934659,4.86413002,7.172796,17.8745,0.544,0.4924902,17.15811066,4.03919,2.501324633,30.326868934,14.435655795,5.4,3.7
"18","Israel",0.894272980636247,42.78,100,1.539877449,8.952413531,16.3636363612518,-2.08,106.8314903,81.386302811,2.2,5.9,100,64.47582,2.3,4.0627,7.097966728,96.69218639,6.04,0.100935551542961,3.505246814,22.49005822,249.2549403,19.4684437,0,1.8,3.2,2962,-2.61299,71.45,43.7,9.8,121.45,0.230061181,-2,33.46,12.85759676,85.75881,1.05974,223,0.1812418,5.637189865,7.237709,12.50256,1.043,0.2632244,4.815703541,3.926270008,26.46883337,27.920695945,22.127312373,0.23,4
"19","Luxembourg",0.891851626668635,29.0033333333333,100,-2.114326209,20.8978117,2.96399699447299,2.65,108.0057702,163.941521062,1.27,8.9,100,371.4397,4.4,50.01655,33.494208494,87.35561187,12.3133333333333,0.099852288899549,4.991851788,17.28136089,47.65914024,17.0585651,0,0.8,1.6,945,-85.91619,94.67,39.4666666666667,13,148.37,0.04867392,9.7,28.24,2.225021549,100,5.59545666666667,122,-168.8638,5.285459916,7.096672,8.37204,0.001,3.024067,3.980732398,1.44066,43.25370489,30.045809774,25.530817075,0.42,2
"20","Japan",0.890593212589872,32.11,100,0.751121838,9.291834303,0.197766175646574,31.66,100.0416667,366.533033444,1.89,5.6,100,35.14246,10.1,0.0755157,68.566491113,94.78853059,12.3133333333333,0.132589731065785,1.912359665,20.5723682,4535.077113,21.7272269,32.12480611,0.3,2.1,10400,3.01704,90.58,18.5,26.9,120.23,0.016286005,0.6,22.97,0.293459213,86.44626,0.16174,51,-2.663063,3.849699974,10.29905,17.0901,0.296,0.0480501,5.211469635,3.38807,1.916863641,45.958312431,10.08687665,1.7,2.9
"21","Belgium",0.890262992237101,33.14,100,-1.235474144,8.849398302,2.07225934237526,5.41,107.6561463,111.234039388,1.68,6,100,164.1816,7.7,-0.6228033,22.453104359,70.09410307,33.95,0.0633068569164558,1.082642852,24.41504005,454.6038686,22.2750423,0,1.6,3.5,7684,6.63517,85,28.9,21,114.27,0.02580432,2.7,29.93,10.45827054,80.10136,13.48664,108,-10.00392,6.548860073,11.18614,11.20289,0.077,2.120064,28.26372474,2.23621,10.44444601,35.213435995,24.857084648,0.36,4.4
"22","France",0.888107436522597,31.69,100,-1.566449324,5.185410609,10.4089327790554,8.97,105.0137245,130.753985808,1.7,4.8,100,58.04824,6,0.2309128,29.311802703,49.1095992,14.79,0.0883864096597609,1.953636899,24.12495322,2453.251048,22.090546,0.951438376,1,3.5,84700,6.6414,83.75,30.5333333333333,19.3,100.36,0.014879949,2,31.8,3.89500861,80.47476,2.42521666666667,98,-3.59425,5.67538023,11.66171,17.81514,0.098,0.8315349,52.41154415,2.26264,11.57090977,24.63749388,21.38624496,0.46,4.2
"23","Austria",0.885027260021308,30.04,100,0.43641002,7.769983423,3.2557952775234,11.23,107.9506626,127.885599562,1.43,5.9,100,103.3815,5.4,3.644082,47.288524312,67.07715227,18.8,0.0528497601052286,0.672028333,19.82821038,376.0309686,22.1831756,0,0.9,3.2,24800,13.06128,81,29.1333333333333,18.2,151.91,0.180038016,3.5,48.3,2.746283105,100.00001,0.26172,98,-0.0428849,5.795760155,11.03413,10.82489,0.009,0.6561084,32.17653329,2.83639,15.70081499,23.719647996,18.267184644,0.42,3.9
"24","Finland",0.882727786825495,27.79,100,0.477135982,10.1640461,1.45752604961167,-3.07,107.8903288,104.864880973,1.6,6.2,100,77.32056,7.5,-1.981359,72.911250782,43.03976228,1.49,0.074720064093927,1.475300395,24.94126879,211.2973284,21.1814782,0,1.6,2.1,4226,4.40052,92.38,43.5,22.2,139.66,0.158079526,1.8,29.05,0.045135256,100,0.44827,58,0.7489355,6.761050224,9.399151,13.55949,0.007,0.3986714,47.50230415,3.54823,5.402682443,14.790695217,20.001105144,0.29,2.6
"25","Slovenia",0.880280840350184,24.87,100,-0.32720268,7.504259702,5.80808080295214,9.08,106.2947129,82.777139469,2.21,9.4,100,143.3718,4.4,-0.8724494,62.413108242,66.58565479,2.96,0.0164222716211886,-1.123990177,20.35019907,56.81950556,19.7174089,51.37552086,0.7,2.3,2259,-0.1351,71.59,41.1666666666667,20.8,112.08,0.313193887,2.1,25.16,8.357202003,96.86898,1.17471,66,-9.581476,5.680540085,9.159823,16.78039,0.118,1.429537,34.51116942,2.79952,11.25933097,10.414156814,17.541665438,0.97,2.9
"26","Spain",0.876124307433439,35.75,100,1.677077353,5.790764234,34.2347121077687,-3.34,107.2095415,205.079199871,2.01,8.4,100,59.70266,2.2,3.224387,37.139775461,75.88553837,28.57,0.0953560269802565,-2.932406746,19.46451566,1473.889627,18.52016,32.85642546,0.8,3.6,60700,1.40742,76.19,30.5333333333333,8.2,107.85,0.036363249,2.6,36.95,1.442600197,69.84413,2.85256,147,-5.837718,4.978519917,8.87926,12.60121,0.055,0.6879899,24.88700562,1.30142,13.7801481,20.071583385,7.078465974,0.57,4.2
"27","Italy",0.873022984102699,35.52,100,0.632018178,6.702557614,22.5830166462575,3.17,107.1577369,161.838441316,2.01,5,100,54.83345,1.9,0.6106765,31.634595771,83.7224112,24.7666666666667,0.067627165820866,-0.692237042,19.44624264,2044.263295,17.8274314,124.1868106,0.9,3,47700,1.56901,61.96,31.9,7.6,154.25,0.118984576,3,40.92,2.240151714,75.68227,0.66545,106,-0.2254688,4.294929981,9.090887,10.32595,0.068,0.347573,13.94140111,1.26572,9.380932964,32.756924568,22.374085076,0.43,3.6
"28","Czech Republic",0.870090820750014,26.39,100,0.140678042,10.43108813,1.26961662476566,4.39,106.8101029,66.974201348,2.27,10.7,100,148.6454,3.9,2.397992,34.455522465,76.85396676,12.92,0.0914237603925724,2.277289822,19.6263576,294.171297,24.9385991,0,1,2.9,9004,6.46124,79.71,58,21.5,130.03,0.231254816,3.8,36.24,4.17447788,99.80429,0.74861,154,-3.055583,4.507180214,7.243968,18.97433,1.349,1.087191,26.50510932,1.88148,4.043805211,14.497871246,13.449078792,0.35,3.6
"29","Greece",0.86518718080572,34.74,100,3.316240538,7.556057769,20.1394361937912,-4.03,103.9151459,134.294390423,2.55,11.2,100,63.4199,1.3,1.215958,30.747866563,90.57958761,13.79,0.146384924097212,-6.464842035,19.99144915,270.7278879,11.2103838,36.59245309,1.7,3.7,17900,-0.77264,63.21,30.4666666666667,6.3,114.96,0.078849525,0.9,43.8,1.105954561,63.15,5.58273,111,1.659568,4.091110229,9.821956,9.19747,0.094,0.332226,8.830121422,0.69038,8.880714307,19.024699025,22.409940063,0.69,4.4
"30","Estonia",0.860835015350877,32.69,100,0.414732113,14.04988252,5.07177033761637,33.31,112.1508859,71.600102461,2.76,7.4,100,171.3029,3.8,3.876924,51.804670913,88.1469609,14.02,0.163770230676162,2.839407379,19.10821397,33.29018418,27.3122612,0,5,2.7,2868,-3.54288,84.24,31.3333333333333,24.9,160.69,1.107561886,0,32.61,4.952708207,100,3.02146,238,0.3438215,5.156990051,5.723605,11.54548,0.352,1.724318,14.59279722,2.18191,16.31259172,8.943229634,16.250754108,2.8,3.4
"31","Brunei",0.855615864663717,29.0033333333333,100,-3.083944113,23.96785089,-8.86198546984081,5.13,102.8821973,20.795000238,2.95,4.7,76.2,108.6414,5.2,5.555164,71.423149905,99.99556393,12.3133333333333,0.0642524393710849,1.053423627,18.31458946,29.02520039,15.3122628,0,2,8.4,225,-38.33973,68.77,39.4666666666667,7.7,110.06,29.785957336,0.8,14.98,3.78381298633333,65.87,3.63081,122,-1.018906,3.765949965,2.524611,10.15195,0.001,1.0602678,0.004488255,1.06344666633333,49.34918522,20.8109538533333,13.9908304176667,3,9.9
"32","Cyprus",0.849745435104918,28.5333333333333,100,2.897486249,6.736166081,7.57914335591803,7.47,105.3347412,335.815604986,2,12.7,100,86.6722,1.5,2.770419,18.756493506,94.89409483,17.63,0.123879163775895,0.468085106,19.70226167,23.77287188,18.4196965,0,2,2.8,2405,-61.04746,69.33,41.1666666666667,7.7,96.34,0.003757694,6.2,22.86,11.39887176,78.7048,4.73259,106,-71.88432,7.242579937,7.365529,13.77462,0.01,0.3782846,5.105820709,0.46726,18.16676978,26.495479622,25.491247277,0.2,3.6
"33","Qatar",0.849768364568487,29.95,100,-1.458735669,43.89303638,2.96399699447299,16.99,107.0699038,73.854542077,1.75,6.3,97.7,97.45603,1.2,-0.4135036,0,100,374.1,0.52409786409879,10.06913631,12.86845544,276.6406968,21.4018289333333,0,1.1,7,2611,16.60128,91.49,38.3,5.7,145.76,17.364888806,48.8,77.39,0.075308091,60.46305,2.26042,60,11.40157,2.448339939,2.187261,9.92245,0.017,0.2826261,0,1.06344666633333,73.82187172,40.241332828,14.654950961,0.17,8.2
"34","Andorra",0.844641908378314,29.0033333333333,100,0.00701187799999997,6.310640211,2.93751689639521e-09,0.71,106.4587666,118.052357007333,1.58,6.3,100,108.052973333333,6.46666666666667,-1.16242373333333,34.042553191,48.29271242,12.3133333333333,0.0642524393710849,1.370024411,25.1893559466667,361.830401766667,21.8676730666667,0,1.3,2.2,2335,-182.34201,95.9,39.4666666666667,19.8,82.64,0.145505915,2.9,36.97,3.608516567,49.40111,6.11862333333333,38,-4.18596483333333,3.088160038,8.073646,9.33028,0.005,0.252640533333333,40.888196952,3.11335666666667,56.91383271,29.962634517,20.6811726316667,0.91,3
"35","Slovakia",0.843572119093826,26.58,100,0.414732113,6.367545917,0.618234412790319,15.39,109.1745662,53.066741714,2.6,9.2,100,181.3689,2.5,2.198677,40.205456663,67.51150673,1.37,0.163628552200719,2.418403115,18.05663967,142.1922509,20.4440043,0,1.4,6,6235,-10.93904,79.98,27.9,18.5,116.94,0.468660879,0.6,30,9.126450539,99.30794,2.04721,187,-10.80162,4.057260036,8.213588,14.94005,0.23,2.120361,32.31149531,0.82315,2.745483992,10.29738593,12.171470546,0.63,7.2
"36","Poland",0.842677827910993,32.78,100,-0.359477765,8.335786706,5.77577870971637,33.36,109.0833333,65.768760544,2.65,7,100,90.32973,3.8,-0.8720853,30.670106459,90.68365019,19.4,0.137784128021175,2.05200125,18.14383665,881.4760216,18.8208311,0,1.2,4.5,15800,0.24838,66.6,35,30.5,156.45,0.954256684,-0.2,21.99,13.18289451,82.29742,1.46771,217,-0.0328981,4.942180157,6.663034,10.18568,1.421,1.328095,9.552269556,0.89972,1.736822198,13.408195975,15.98390736,1.8,5.2
"37","Lithuania",0.839421883128433,32.63,100,0.414732113,4.537558514,11.8667495012891,-8.07,108.5,51.04501961,3.5,5.5,100,155.7439,8.4,1.551068,34.712959122,74.04694221,9.53,0.124680770404629,-2.954438321,18.74671402,72.3735333,17.4482241,0,6.7,4,2012,-4.9989,72.13,37.6,51,147.04,0.367048442,-1.9,41.16,4.831083643,91.41517,2.50047,329,3.144038,5.172679901,6.237117,12.43042,0.22,4.484069,14.48771072,0.90166,4.898385214,9.034585425,13.377849172,3,4.9
"38","Malta",0.838978340089051,28.5333333333333,100,3.318951129,6.034321639,0,27.22,106.6518099,146.69677526,2.59,8.6,100,182.5057,0.7,-19.37838,0.9375,94.51428078,7.94,0.226573229345438,0.903211418,20.20054095,12.2023425,14.3367355,0,2.8,5.3,1582,-6.26895,73.17,16,11.1,126.98,0.182337587333333,2.1,34.95,7.97685054766667,73.29106,5.53651,145,52.73935,7.963749886,8.703942,11.45141,0.006,0.3513015,5.485719217,0.84241,8.031393647,33.138902938,27.019901923,0.37,6.1
"39","Saudi Arabia",0.837273977255894,29.0033333333333,100,2.86598702,18.74082287,0,7.25,112.6951565,-7.876052716,2.89,3.8,97.7,82.42468,0.2,1.24226,0.454484135,99.99760143,943.3,0.284272279165943,9.210470957,22.13920617,1501.060624,23.2028806,36.94854827,0.8,13.4,13400,-0.8407,63.7,39.4666666666667,0.6,179.56,20.64112626,2.1,7.67,4.298975873,66.50885,1.31228,162,0.3087323,5.13781023,3.164587,10.39186,0.6,0.0359107,0.002398032,0.07338,31.42833209,18.656620729,9.94608030466667,3.9,15.5
"40","Argentina",0.835572018229568,43.57,100,0.978276676,4.665868631,-16.8786824764335,21.05,110.448558066667,33.26890643,3.26666666666667,6.33333333333333,99.8,29.34839,4.1,1.867905,10.567656549,89.66696697,4.3,0.375609703713864,5.07691493,15.50611267,192.636330233333,17.0225753,17.90567657,5.5,11.9,5571,-5.78899333333333,64.7,31.3333333333333,17.2,158.74,3.060038716,-0.5,31.55,1.681961183,56.94,2.90276,147,-1.693756,5.137589931,7.254919,16.33135,0.388,0.0872967,9.295287965,0.64696,4.549695526,8.89529295633333,14.4833609793333,1.3,13.3
"41","United Arab Emirates",0.835469039773073,29.0033333333333,100,-3.771636299,19.99797997,30.3755101805163,28.78,102.6644428,76.453999925,1.58,6.3,97.7,176.0669,1.7,2.606738,3.820813397,48.29271242,1867,0.23217171334853,4.227448279,6.84261035,525.1324733,21.9681455,0,0.7,7,7126,38.20163,90.4,39.4666666666667,3.9,178.06,11.688703531,11.4,19.3,1.875463572,64.3,8.04099,238,5.65003866666667,6.00911665,3.200764,16.06864,0.088,0.271701566666667,0.083458492,0.48911,83.74569835,21.4117164426667,0.355057935,0.1,8.2
"42","Chile",0.832178477211409,50.84,99,1.880778148,4.58786833,6.83482932730057,37.64,108.3544928,115.484874957,2.62,7.4,99.6,65.45889,5.8,7.308171,21.930730621,75.64296907,3.83,0.337591369303057,4.153329321,12.38565479,382.5948954,23.6091046,4832.268884,3.1,7.1,3576,-0.50562,72.35,35.7,19,133.26,8.316859685,0.3,10.24,1.147735835,74.77146,1.33246,266,-5.186472,4.553850174,7.730832,21.15991,0.598,0.0001082,24.1646402,0.41722,2.260258797,30.360631477,19.045658962,1.2,8.2
"43","Portugal",0.83009529677395,30.6633333333333,100,3.230429058,4.709849624,4.00350248743893,0.29,106.8199896,183.27156908,2.47,9,100,77.53988,3.5,3.467122,37.816355497,74.91724082,10.1,0.110965715099292,-1.944355291,18.95179627,267.7253099,15.1409601,0.79422253,1.2,3.1,8097,1.35202,64.59,38,13.6,111.8,0.077738158,1.9,34.23,2.32020344,47.95549,2.33212333333333,136,-0.2149885,5.272130013,9.709223,11.73422,0.032,1.923409,21.98440977,1.49533,8.42603559,22.15593652,20.341406305,1.3,3.8
